station_id,start_counts,end_counts,start_station_name,start_station_latitude,start_station_longitude
173.0,201,194,Shattuck Ave at 55th St,37.8403643,-122.26448810000001
157.0,201,248,65th St at Hollis St,37.8467842,-122.2913761
233.0,200,192,4th Ave at E 12th St (Temporary Location),37.795913,-122.25554699999999
219.0,198,185,Marston Campbell Park,37.8098236,-122.2801923
154.0,196,254,Doyle St at 59th St,37.841923799999996,-122.28804509999999
159.0,195,204,24th St at Market St,37.8160598,-122.27824440000002
351.0,190,277,10th St at University Ave,37.86906047545393,-122.29339957237242
213.0,188,196,32nd St at Adeline St,37.8238474,-122.2811926
190.0,187,118,West St at 40th St,37.8302232,-122.2709501
158.0,185,185,Shattuck Ave at Telegraph Ave,37.8332786,-122.26349009999998
198.0,180,174,Snow Park,37.80781318217903,-122.26449608802795
273.0,177,192,Fulton St at Ashby Ave,37.85557366182879,-122.2635653614998
150.0,173,210,Adeline St at 40th St,37.8312769,-122.2782669
162.0,173,165,Franklin St at 9th St,37.8005161,-122.27207990000001
188.0,168,170,Dover St at 57th St,37.8426295,-122.267738
279.0,167,163,Santa Clara St at 7th St,37.3391456,-121.8841054
214.0,166,166,Market St at Brockhurst St,37.8233214,-122.27573249999999
156.0,165,195,Stanford Ave at Hollis St,37.8384435,-122.28866470000001
155.0,165,194,Emeryville Public Market,37.840521166949685,-122.29352831840515
142.0,165,125,Guerrero Park,37.74573879618333,-122.42214024066924
187.0,164,203,Jack London Square,37.796248,-122.279352
205.0,162,156,Miles Ave at Cavour St,37.8388,-122.25873200000001
207.0,160,141,Broadway at Coronado Ave,37.8357883,-122.25162069999999
340.0,158,154,Harmon St at Adeline St,37.849734999999995,-122.270582
167.0,156,143,College Ave at Harwood Ave,37.848152,-122.25215990000001
281.0,155,176,9th St at San Fernando St,37.33839520000001,-121.8807965
257.0,155,209,Fifth St at Delaware St,37.870407115465376,-122.29967594146729
218.0,154,143,DeFremery Park,37.8123315,-122.28517120000001
309.0,154,170,San Jose City Hall,37.337391,-121.886995
262.0,154,205,West St at University Ave,37.86996670760404,-122.28653311729431
37.0,152,147,2nd St at Folsom St,37.78499972833808,-122.39593561749642
215.0,143,157,34th St at Telegraph Ave,37.8225475,-122.2663179
339.0,143,140,Jackson St at 11th St,37.80000163118878,-122.26643800735472
140.0,140,103,Cesar Chavez St at Dolores St,37.7478584,-122.42498629999999
168.0,138,128,Alcatraz Ave at Shattuck Ave,37.849594967776646,-122.26556897163393
174.0,132,129,Shattuck Ave at 51st St,37.8368013,-122.2640037
204.0,129,137,55th St at Telegraph Ave,37.84018579999999,-122.26182250000001
177.0,126,102,MacArthur Blvd at Telegraph Ave,37.82628629999999,-122.2651002
192.0,125,116,37th St at West St,37.82669558640968,-122.27179706096649
153.0,123,177,59th St at Horton St,37.84094520000001,-122.2913604
271.0,122,150,San Pablo Park,37.85578332030199,-122.28312671184538
152.0,121,135,47th St at San Pablo Ave,37.83563220458518,-122.28105068206787
169.0,114,112,Bushrod Park,37.846515600000004,-122.26530430000001
294.0,113,99,Pierce Ave at Market St,37.327581,-121.88455900000001
220.0,112,118,San Pablo Ave at MLK Jr Way,37.8113514,-122.2734217
235.0,111,96,Union St at 10th St,37.8072393,-122.28937020000001
232.0,111,128,MLK Jr Way at 14th St,37.806162799999996,-122.2760402
314.0,107,116,Santa Clara St at Almaden Blvd,37.333988,-121.894902
35.0,102,85,Cahill Park,37.329118668147785,-121.90457582473756
304.0,99,90,Jackson St at 5th St,37.348758686744794,-121.89479783177376
172.0,96,80,College Ave at Taft Ave,37.8417999,-122.25153490000001
282.0,94,90,Market St at Park St,37.332426301252056,-121.89034938812256
316.0,94,97,San Salvador St at 1st St,37.330165,-121.88583100000001
170.0,94,112,Telegraph Ave at 58th St,37.8444927,-122.261351
149.0,93,106,Emeryville Town Hall,37.8312752,-122.28563329999999
221.0,91,113,6th Ave at E 12th St (Temporary Location),37.794396,-122.25384199999999
164.0,90,80,Isabella St at San Pablo Ave,37.814988230424156,-122.27484405040741
231.0,90,79,14th St at Filbert St,37.80874983465997,-122.28328227996825
291.0,87,106,Autumn Parkway at Coleman Ave,37.3413348,-121.90318290000002
313.0,85,88,Almaden Blvd at San Fernando St,37.331415,-121.8932
151.0,82,90,53rd St at Hollis St,37.8361823,-122.2871801
289.0,80,99,5th St at Taylor St,37.351017299999995,-121.89592090000001
